model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_D_CNN_0	-	104454.0	42221.0	48154.0	62233.0	23175.0	104454.0	42221.0	48154.0	62233.0	23175.0	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	
mobidb_D_CNN_0_d2	-	109877.0	22328.0	22838.0	87549.0	43068.0	109877.0	22328.0	22838.0	87549.0	43068.0	0.4943541602090068	0.3414276102513915	0.6702726291370955	0.7931096958881028	0.5672686530697472	0.403900074166531	0.14882353562867195	0.4943541602090068	0.3414276102513915	0.6702726291370955	0.7931096958881028	0.5672686530697472	0.403900074166531	0.14882353562867195	0.01534874030619694	0.012570442933331765	0.007912319070863054	0.005305818373294274	0.009547253855675186	0.013938918670468316	0.0316363474697788	0.01534874030619694	0.012570442933331765	0.007912319070863054	0.005305818373294274	0.009547253855675186	0.013938918670468316	0.0316363474697788	
mobidb_D_CNN_0_d3	-	96671.0	38868.0	52584.0	57803.0	26528.0	96671.0	38868.0	52584.0	57803.0	26528.0	0.4250098412281853	0.5943482781821519	0.6854300316609551	0.5236395590060424	0.5589939185940971	0.49561358767724173	0.11415148593657792	0.4250098412281853	0.5943482781821519	0.6854300316609551	0.5236395590060424	0.5589939185940971	0.49561358767724173	0.11415148593657792	0.011035803698274399	0.014707180471584253	0.00847115831576869	0.00877587477546098	0.010279833366581746	0.010722063294749971	0.032831145284551645	0.011035803698274399	0.014707180471584253	0.00847115831576869	0.00877587477546098	0.010279833366581746	0.010722063294749971	0.032831145284551645	
random_d_only	-	93782.0	24199.0	40804.0	69583.0	41197.0	93782.0	24199.0	40804.0	69583.0	41197.0	0.3722751257634263	0.3700379228087345	0.6281187940061382	0.6303550236893837	0.5001964732490591	0.37115315301497714	0.0003934328328824798	0.3722751257634263	0.3700379228087345	0.6281187940061382	0.6303550236893837	0.5001964732490591	0.37115315301497714	0.0003934328328824798	0.014493825592361459	0.003488092412516431	0.014545219250288536	0.002037814682341049	0.0020808587449106884	0.007516655424111323	0.0024784872645759117	0.014493825592361459	0.003488092412516431	0.014545219250288536	0.002037814682341049	0.0020808587449106884	0.007516655424111323	0.0024784872645759117	
