model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_D_CNN_0	-	104454.0	42221.0	48154.0	62233.0	23175.0	104454.0	42221.0	48154.0	62233.0	23175.0	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	
mobidb_D_CNN_0_lr0005	-	102362.0	43985.0	52010.0	58377.0	21411.0	102362.0	43985.0	52010.0	58377.0	21411.0	0.4582009479660399	0.6725946541072848	0.731651376146789	0.5288394466739743	0.6007170503906296	0.5450737649559144	0.19555749075118511	0.4582009479660399	0.6725946541072848	0.731651376146789	0.5288394466739743	0.6007170503906296	0.5450737649559144	0.19555749075118511	0.011039242666182194	0.013345481983680935	0.008095829814771785	0.007743540113619872	0.01188642936548717	0.009924903948646382	0.029521137304216447	0.011039242666182194	0.013345481983680935	0.008095829814771785	0.007743540113619872	0.01188642936548717	0.009924903948646382	0.029521137304216447	
mobidb_D_CNN_0_lr001	-	104915.0	40426.0	45898.0	64489.0	24970.0	104915.0	40426.0	45898.0	64489.0	24970.0	0.468305453871461	0.6181723652822803	0.7208777205200148	0.5842082853959253	0.6011903253391028	0.5329027155286054	0.19567067723784085	0.468305453871461	0.6181723652822803	0.7208777205200148	0.5842082853959253	0.6011903253391028	0.5329027155286054	0.19567067723784085	0.011523944206177604	0.013223029293408003	0.008002630077951373	0.007193804392628457	0.012716229833043664	0.01043773049595475	0.02993481058131623	0.011523944206177604	0.013223029293408003	0.008002630077951373	0.007193804392628457	0.012716229833043664	0.01043773049595475	0.02993481058131623	
random_d_only	-	93669.0	24277.0	40995.0	69392.0	41119.0	93669.0	24277.0	40995.0	69392.0	41119.0	0.3719358990072313	0.3712306563092544	0.6279193926396467	0.6286247474793227	0.4999277018942886	0.37158294303119355	-0.00014465227140519373	0.3719358990072313	0.3712306563092544	0.6279193926396467	0.6286247474793227	0.4999277018942886	0.37158294303119355	-0.00014465227140519373	0.014480029636703591	0.003354023855664424	0.014555840171856203	0.002065818873995396	0.002036411200434441	0.007551278440366406	0.0025548211821974213	0.014480029636703591	0.003354023855664424	0.014555840171856203	0.002065818873995396	0.002036411200434441	0.007551278440366406	0.0025548211821974213	
