model	class	correct	TP	FP	TN	FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	
0_simple_without_dropout	-	180615.0	24518.0	74076.0	156097.0	533.0	0.21001795850695873	0.9631429716514079	0.9820160590982151	0.6295997037035302	0.8267653730374435	0.6634917137689913	0.5592125860287936	0.012240985726750777	0.0048672351974594665	0.004408657129229788	0.00970502657640585	0.008247683837553728	0.016700027257756715	0.016496035245310445	
2-2_dropout_0.3_new	-	220572.0	24598.0	34199.0	195974.0	453.0	0.32218051760281613	0.9749754730842983	0.9948714012682925	0.8512787441689825	0.9139782973047604	0.7484067371136985	0.7233235060763024	0.015541838966634513	0.005069159177954816	0.0015289150457978985	0.006950350868509045	0.005840557622390429	0.014829429199113215	0.01458540128347363	
2-2_dropout_0.3_lr_0.005	-	220033.0	22951.0	33091.0	197082.0	2100.0	0.3069412088165111	0.9018479038163774	0.9802963588978056	0.8557191841061279	0.8782470694871487	0.7130428750468746	0.6677211130866734	0.015100664886784259	0.009235364053043219	0.0031583185687194264	0.0067671877526621115	0.0068136677150335305	0.014858447386446169	0.01530700792454645	
2-2_dropout_0.3_lr_0.008	-	217785.0	24229.0	36617.0	193556.0	822.0	0.29137256466400735	0.9639485306795774	0.9886898187112162	0.8404431606287325	0.9014563471984983	0.7214246280077501	0.6892737150138277	0.0143989971448253	0.005671189645244847	0.0028394381222509113	0.006985143585957111	0.005891487231357888	0.014503613834069009	0.014283475139296535	
