model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_D_CNN_0	-	104454.0	42221.0	48154.0	62233.0	23175.0	104454.0	42221.0	48154.0	62233.0	23175.0	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	
mobidb_D_CNN_0_k3	-	104798.0	40466.0	46055.0	64332.0	24930.0	104798.0	40466.0	46055.0	64332.0	24930.0	0.4677014828769894	0.6187840234876751	0.7207098205283323	0.5827860164693306	0.6007850199785029	0.5327382715561787	0.19487963966449195	0.4677014828769894	0.6187840234876751	0.7207098205283323	0.5827860164693306	0.6007850199785029	0.5327382715561787	0.19487963966449195	0.011071758529377777	0.012901939458378817	0.007998025508885533	0.007198752257501277	0.011849339324572569	0.010596267982707977	0.02836363154647504	0.011071758529377777	0.012901939458378817	0.007998025508885533	0.007198752257501277	0.011849339324572569	0.010596267982707977	0.02836363154647504	
mobidb_D_CNN_0_k7	-	94566.0	37571.0	53392.0	56995.0	27825.0	94566.0	37571.0	53392.0	56995.0	27825.0	0.41303606961072087	0.5745152608722246	0.6719523697241216	0.516319856504842	0.5454175586885333	0.4805735518902014	0.0878631598718947	0.41303606961072087	0.5745152608722246	0.6719523697241216	0.516319856504842	0.5454175586885333	0.4805735518902014	0.0878631598718947	0.01100516405941117	0.01419285798128613	0.008084787370075923	0.007708274275818275	0.010043150616588203	0.011051300218111433	0.02556882226159323	0.01100516405941117	0.01419285798128613	0.008084787370075923	0.007708274275818275	0.010043150616588203	0.011051300218111433	0.02556882226159323	
